,prices,rarity,mana_cost,colors,set
625,0.24,rare,{3}{U}{U},['U'],bfz
626,0.07,uncommon,{1}{B},['B'],ala
627,,mythic,{4}{R}{R},['R'],vma
628,0.18,uncommon,{2}{W},['W'],inv
629,5.20,common,,[],opca
630,0.03,uncommon,{W},['W'],jmp
631,7.39,common,,[],oarc
632,0.02,common,{4}{B},['B'],m21
633,,uncommon,{1}{U},['U'],me4
634,,mythic,{3}{R}{W},"['R', 'W']",cm2
635,,rare,{U}{U},['U'],me4
636,2.97,uncommon,{U},['U'],c21
637,0.68,rare,{4},[],c14
638,3.71,rare,,[],dom
639,0.22,common,{3},[],5dn
640,0.26,common,{1}{B},['B'],gn2
641,1.01,rare,{3}{R}{G},"['G', 'R']",xln
642,,bonus,{0},[],vma
643,0.10,common,{2}{B},['B'],mir
644,0.78,rare,{W}{W}{W},['W'],ody
645,,common,,,tgk1
646,,uncommon,{B},['B'],sum
647,0.01,common,{4}{U}{U},['U'],vow
648,1.71,rare,{2}{W},['W'],rix
649,0.14,uncommon,{4}{U},['U'],lgn
650,0.11,rare,{5}{R}{R},['R'],afc
651,0.19,rare,{3}{G},['G'],afc
652,0.04,common,{3}{G},['G'],zen
653,0.27,common,{G},['G'],mic
654,,common,{3}{U},['U'],me4
655,0.13,rare,{1}{W},['W'],vow
656,0.10,common,{3}{W},['W'],jmp
657,0.08,common,{2}{R},['R'],jmp
658,0.02,uncommon,{1}{R},['R'],2xm
659,0.18,uncommon,{U}{B},"['B', 'U']",ala
660,3.60,rare,{3}{U},['U'],shm
661,0.29,common,{W}{B},"['B', 'W']",c17
662,0.01,common,{4}{U}{U},['U'],cmr
663,0.19,rare,{1}{R},['R'],khm
664,1.81,mythic,{2}{B}{B},['B'],khm
665,0.10,uncommon,{5}{W}{W},['W'],shm
666,0.95,uncommon,{U},['U'],drk
667,0.04,uncommon,{3}{G},['G'],m19
668,0.01,common,{2}{R},['R'],stx
669,0.11,rare,{3}{U}{B},"['B', 'U']",thb
670,0.18,rare,{4}{U}{U},['U'],jmp
671,0.07,uncommon,{3}{W},['W'],kld
672,0.09,uncommon,{3}{B}{B},['B'],dtk
673,0.05,common,{B}{B},['B'],ths
674,0.09,uncommon,{1}{R}{R},['R'],m10
675,0.06,common,{5}{U},['U'],5dn
676,,common,{1}{G},['G'],tpr
677,0.18,uncommon,{R}{R},['R'],fem
678,0.80,rare,{4}{B},['B'],c13
679,0.15,common,{U},['U'],m15
680,1.59,rare,{2}{W},['W'],jud
681,0.18,rare,{B}{G}{U},"['B', 'G', 'U']",ktk
682,0.29,uncommon,{1}{U},['U'],9ed
683,0.10,uncommon,{3}{B},['B'],mic
684,,uncommon,{2}{U}{U},['U'],me4
685,,mythic,,[],htr20
686,0.12,rare,{2}{W}{W},['W'],kld
687,,common,,,astx
688,1.01,rare,{G}{G}{U}{U}{U}{R}{R},"['G', 'R', 'U']",iko
689,0.41,rare,{3}{B}{B},['B'],rna
690,0.01,common,{8},[],cmr
691,0.08,common,{3}{U},['U'],som
692,0.31,rare,{3},[],ice
693,,rare,{3}{G},['G'],khm
694,0.04,uncommon,{3}{U},['U'],dtk
695,0.06,common,{2}{B},['B'],ulg
696,0.15,rare,{5}{W}{W},['W'],dtk
697,0.03,common,{2}{B},['B'],ima
698,0.18,common,{R},['R'],inv
699,2.84,uncommon,{3}{G}{U},"['G', 'U']",dom
700,0.11,common,{B},['B'],mma
701,0.09,uncommon,{1}{R},['R'],chk
702,0.02,uncommon,{1}{R}{W},"['R', 'W']",mid
703,0.46,uncommon,{3}{U/R}{B},"['B', 'R', 'U']",e01
704,0.01,common,{3}{G}{G},['G'],tsr
705,,rare,{2}{U},['U'],y22
706,0.02,common,{2}{G},['G'],grn
707,0.10,common,{5}{W}{W},['W'],ala
708,0.05,common,{U},['U'],mh2
709,0.11,uncommon,,[],war
710,0.08,common,{1}{W},['W'],shm
711,,common,,,amh2
712,,rare,{3}{R},['R'],tpr
713,0.10,uncommon,{1},[],ust
714,0.17,rare,{3}{B}{G} // {R}{G},"['B', 'G', 'R']",dgm
715,,common,,,aznr
716,0.28,rare,{3}{W},['W'],tmp
717,0.05,common,{3}{W},['W'],gtc
718,9.41,mythic,{1}{R}{R},['R'],m19
719,0.05,common,{3}{R}{R},['R'],5dn
720,0.01,common,{3}{U},['U'],cmr
721,0.01,common,{3}{U},['U'],m20
722,0.17,common,,,mid
723,0.03,common,{3}{G},['G'],rtr
724,0.12,common,{2}{W},['W'],mma
725,0.25,rare,{U}{B},[],bfz
726,0.21,uncommon,{3},[],hop
727,3.03,rare,{3}{B}{B},['B'],ulg
728,,common,,,avow
729,0.30,common,{1}{B},['B'],jmp
730,0.53,rare,{4}{R}{R},['R'],afc
731,0.04,common,{R},['R'],dtk
732,1.25,rare,{R}{R}{R},['R'],mrd
733,0.03,uncommon,{2}{R},['R'],akh
734,0.31,uncommon,,[],mmq
735,0.07,common,{3}{R},['R'],grn
736,0.09,common,{1}{U},['U'],con
737,,common,,['G'],tmic
738,0.18,common,{2}{B},['B'],chk
739,2.56,rare,{2}{R},['R'],afc
740,0.35,rare,{5}{G},['G'],cma
741,3.97,rare,{1}{B},['B'],5dn
742,,rare,{G}{G},['G'],me4
743,0.97,rare,{1}{U},['U'],cmb2
744,0.18,uncommon,{1}{U}{R},"['R', 'U']",ima
745,0.13,uncommon,,[],cn2
746,0.04,common,{1}{U},['U'],2xm
747,0.10,uncommon,{2}{R},['R'],dtk
748,0.02,common,{1}{U},['U'],gtc
749,,mythic,{1}{R}{R},['R'],tpr
750,,common,,,f18
751,0.10,common,{2}{G},['G'],cn2
752,0.18,rare,{2}{W}{W}{W}{W},['W'],stx
753,,common,{1}{B},['B'],tpr
754,0.08,common,{1}{W},['W'],tmp
755,0.07,common,{4}{W},['W'],voc
756,0.12,common,{W},['W'],tsp
757,7.83,rare,{4}{R}{R},['R'],jmp
758,1.78,common,,[],opca
759,2.93,mythic,{4}{U}{U},['U'],c14
760,0.25,rare,{4}{U},['U'],m15
761,,mythic,{3}{U},['U'],ddt
762,0.08,common,{3}{W},['W'],scg
763,5.83,mythic,{4}{G}{G},['G'],gnt
764,0.08,uncommon,{1}{B},['B'],znr
765,0.32,uncommon,{2}{B},['B'],ust
766,,rare,{4}{W}{W},['W'],me2
767,,common,,"['R', 'W']",teld
768,0.06,common,{3}{R},['R'],cn2
769,0.02,common,{2},[],kld
770,0.01,uncommon,{2}{U},['U'],cmr
771,0.63,rare,{3},[],m19
772,,common,,,astx
773,0.09,uncommon,{3}{G},['G'],5dn
774,2.13,rare,{2}{U},['U'],mh1
775,2.31,rare,{3}{W},['W'],uma
776,0.01,common,{1}{B},['B'],znr
777,0.11,uncommon,{3}{W},['W'],ust
778,0.13,common,{U},['U'],nem
779,0.24,rare,{3}{B},['B'],mor
780,0.29,common,,[],mh2
781,0.25,common,{G},['G'],chk
782,0.47,common,,,tgk1
783,0.15,uncommon,{3}{R}{R},['R'],ody
784,6.09,common,{U}{U},['U'],rav
785,0.66,uncommon,{3}{W},['W'],war
786,0.06,uncommon,{3}{B}{G},"['B', 'G']",ktk
787,0.33,common,{3},[],jmp
788,0.15,uncommon,{2}{U},['U'],2xm
789,2.68,rare,{5},[],c18
790,0.25,rare,{3}{R}{R},['R'],ody
791,0.31,rare,{1}{U},['U'],roe
792,0.83,rare,{1}{R},['R'],cmb2
793,0.17,uncommon,{5}{U}{U},['U'],mrd
794,0.22,uncommon,{5},[],ust
795,0.18,rare,{2}{R},['R'],und
796,3.75,rare,{G}{G},['G'],afr
797,0.42,rare,{2}{R}{R},['R'],afc
798,0.11,rare,{G/W}{G/W} // {4}{G}{W},"['G', 'W']",grn
799,0.03,common,{W},['W'],bng
800,,common,,[],tkhm
801,0.03,common,{2}{W},['W'],thb
802,0.04,common,{2}{G},['G'],ktk
803,3.72,rare,,[],afr
804,1.75,mythic,{2}{G},['G'],mid
805,6.35,rare,{1}{W},['W'],a25
806,1.30,rare,{3},[],fem
807,0.24,rare,{R},['R'],4ed
808,,rare,{2}{R}{R},['R'],prm
809,0.75,rare,{2}{W},['W'],znr
810,0.37,rare,{1}{R},['R'],nem
811,6.10,rare,{B}{G},"['B', 'G']",cm2
812,0.01,common,{2}{R}{W},"['R', 'W']",grn
813,0.04,common,{3}{U},[],bfz
814,14.45,uncommon,{U}{U},['U'],csp
815,0.04,common,{2},[],znr
816,0.07,common,,[],bfz
817,2.96,rare,,[],cc2
818,0.01,common,{W},['W'],mid
819,,common,{2},[],me2
820,0.01,common,{3}{B}{B},['B'],afr
821,0.02,common,{3}{U},['U'],znr
822,0.71,mythic,{X}{X}{B}{B}{B}{B},['B'],ktk
823,0.44,mythic,{6}{R}{R}{R},['R'],cmr
824,0.09,common,{2}{R},['R'],emn
825,0.16,uncommon,{3}{R},['R'],lgn
826,0.01,uncommon,{4}{G},['G'],vow
827,0.19,uncommon,{2}{U},['U'],dst
828,,common,,,amh2
829,0.71,rare,{2},[],mh2
830,0.03,common,{2}{B},['B'],emn
831,0.10,common,{B},['B'],4ed
832,0.49,uncommon,{2}{U},['U'],ddu
833,0.12,uncommon,,,emn
834,,common,,,avow
835,0.08,uncommon,{U}{R},"['R', 'U']",grn
836,0.37,mythic,{X}{U}{R},"['R', 'U']",c21
837,3.50,uncommon,{2}{U},['U'],khc
838,3.65,rare,{3},[],cm2
839,0.02,common,{3}{R},['R'],war
840,0.16,rare,{1}{G},['G'],ddu
841,0.05,common,{4}{G}{G},['G'],m21
842,0.09,uncommon,{0},[],mh2
843,0.07,common,{W}{U},"['U', 'W']",dis
844,2.26,rare,{6}{W}{W}{W},['W'],uma
845,0.02,common,{3}{B},['B'],mm3
846,0.18,uncommon,{3}{R}{R},['R'],eve
847,0.80,mythic,{2}{G}{U}{R},"['G', 'R', 'U']",iko
848,0.13,uncommon,{1}{U},['U'],ori
849,0.48,common,{1}{B}{B},['B'],dst
850,1.96,mythic,{2}{U}{U}{U},['U'],m20
851,0.07,common,{U},['U'],bbd
852,,common,,,avow
853,1.32,common,{R},['R'],ons
854,0.08,uncommon,{3}{G/U},"['G', 'U']",eve
855,0.17,uncommon,{4},[],mmq
856,0.37,uncommon,{G},['G'],tor
857,,rare,{3}{B}{B}{B},['B'],tpr
858,0.05,uncommon,{2}{W},['W'],m10
859,0.24,rare,{3},[],tmp
860,1.03,rare,{4}{B},['B'],dka
861,0.39,uncommon,{W},['W'],dis
862,1.78,rare,{4}{G}{G},['G'],khc
863,0.25,uncommon,{W}{U},"['U', 'W']",thb
864,0.02,common,{3}{R},['R'],iko
865,0.01,common,{1}{W},['W'],eld
866,0.13,common,{B},['B'],dvd
867,0.09,common,,['W'],tcn2
868,0.03,common,{5}{G} // {3}{G},['G'],eld
869,0.48,mythic,{3}{B}{R},"['B', 'R']",c20
870,0.01,common,{1}{B},['B'],tsr
871,0.03,uncommon,{2}{R},['R'],mh2
872,,rare,,[],pmoa
873,0.02,common,{G},['G'],kld
874,0.24,rare,{1}{B}{R},"['B', 'R']",akh
875,0.11,uncommon,{1}{G}{G},['G'],rix
876,,rare,,[],pmoa
877,4.95,mythic,{3}{B}{R},"['B', 'R']",rix
878,0.14,common,{1}{W},['W'],usg
879,,common,{2}{G},['G'],me2
880,0.06,common,{1}{B},['B'],ths
881,0.01,common,{2}{B},['B'],tsr
882,0.03,common,{3}{B},['B'],m19
883,0.57,rare,{X}{2}{G},['G'],c21
884,1.95,uncommon,{1}{R},['R'],mir
885,0.15,uncommon,{1}{W},['W'],arc
886,0.11,common,{2}{G},['G'],m15
887,0.15,common,{2}{G}{G},['G'],ody
888,0.24,common,{U},['U'],10e
889,0.37,rare,{1},[],ktk
890,0.23,rare,{2}{U}{U},['U'],inv
891,0.13,common,{4}{R},['R'],2xm
892,3.61,common,,[],hop
893,,common,,,akhm
894,0.10,uncommon,{3}{G}{G},['G'],9ed
895,0.12,uncommon,{5}{W},['W'],ddh
896,30.00,rare,,[],pvan
897,0.23,rare,{2}{G},['G'],cma
898,0.01,common,{2}{U},['U'],khm
899,0.02,common,{3}{G},['G'],tsr
900,,common,,,astx
901,0.26,rare,{4}{U}{R},"['R', 'U']",c20
902,17.60,rare,{2}{R}{W},"['R', 'W']",sld
903,0.05,uncommon,{3}{R}{R},['R'],mor
904,0.19,common,{R}{W},"['R', 'W']",apc
905,0.02,common,{R},['R'],vow
906,9.85,mythic,{2}{R},['R'],bbd
907,0.09,uncommon,{3}{R},['R'],5dn
908,0.16,common,{3},[],c15
909,0.08,common,{1}{R},['R'],ody
910,,uncommon,{4},[],me2
911,0.14,common,{2}{W},['W'],lgn
912,0.03,common,{4},[],mbs
913,0.04,uncommon,{3}{B},[],ogw
914,0.15,uncommon,{4},[],nem
915,0.03,common,{2}{R},['R'],cn2
916,35.14,common,{1}{G},['G'],ptk
917,0.08,common,{2}{R},['R'],zen
918,0.81,rare,{2}{B},['B'],khm
919,,common,{1}{U},['U'],vma
920,0.10,common,{R},['R'],all
921,0.94,rare,{2}{G},['G'],9ed
922,4.88,common,,[],oarc
923,23.63,rare,,[],ema
924,,common,,[],tc21
925,0.12,common,{U},['U'],wth
926,1.42,uncommon,{1},[],m11
927,0.09,common,{1}{B},['B'],uds
928,0.01,common,{3}{R},['R'],mh2
929,6.50,rare,{6},[],cm2
930,0.13,uncommon,{3}{B}{B},['B'],chr
931,0.18,common,,['R'],tema
932,0.20,common,{2}{U},['U'],m20
933,0.61,rare,{1}{R},['R'],ori
934,0.12,uncommon,{1}{B},['B'],ody
935,0.25,rare,{2}{B},['B'],inv
936,0.08,uncommon,{4}{U/R}{U/R},"['R', 'U']",dds
937,0.24,rare,{1}{W}{W},['W'],ody
938,0.02,common,{1}{R},['R'],akh
939,,rare,{2},[],vma
940,0.01,common,{2}{B},['B'],cmr
941,0.16,common,{W},['W'],jou
942,0.02,common,{2}{W},['W'],ima
943,2.42,rare,{4}{W}{W},['W'],cmr
944,5.95,mythic,{3}{B}{B}{B}{B},['B'],cns
945,26.04,rare,,[],mh2
946,0.05,common,{2}{U}{U},['U'],a25
947,0.12,uncommon,{2},[],mmq
948,0.26,uncommon,{3}{G},['G'],lrw
949,0.13,uncommon,{3}{W},['W'],inv
950,0.12,uncommon,{9}{B},['B'],ktk
951,9.38,rare,{3}{B}{B}{B},['B'],lrw
952,5.79,rare,,[],lrw
953,0.04,common,{4}{R},['R'],dgm
954,0.14,uncommon,{2}{R}{R},['R'],sok
955,5.39,rare,{2}{B}{B},['B'],fut
956,1.16,rare,{2}{U},['U'],por
957,15.12,rare,{B},['B'],ddq
958,0.06,common,{2}{R},['R'],scg
959,5.44,mythic,{4}{W}{B},"['B', 'W']",soi
960,0.20,common,,[],voc
961,0.79,mythic,{X}{R}{G},"['G', 'R']",ust
962,0.20,rare,{B}{R},"['B', 'R']",ths
963,0.03,common,{2}{R},['R'],mh1
964,0.74,rare,{2}{U},['U'],vow
965,0.23,rare,{1}{B},['B'],afr
966,0.68,rare,{1}{W}{U},"['U', 'W']",rtr
967,0.28,rare,{X}{R}{R},['R'],mor
968,0.86,rare,{3}{B},['B'],iko
969,0.59,mythic,{2}{R}{R}{R},['R'],afc
970,0.03,uncommon,,,mid
971,0.01,common,{W},['W'],m21
972,0.11,common,{2}{B}{R},"['B', 'R']",cma
973,0.43,common,,[],afc
974,0.77,rare,{1}{W}{W},['W'],isd
975,0.17,uncommon,{2}{G}{W}{W},"['G', 'W']",khm
976,0.47,rare,{X}{X}{G},['G'],kld
977,,rare,{1}{W}{W},['W'],me4
978,,rare,{4}{R}{G},"['G', 'R']",znr
979,0.27,rare,,[],mic
980,0.01,common,{3}{G},['G'],m15
981,0.24,common,{2}{B},['B'],cmd
982,0.42,rare,{3}{W}{W},['W'],ust
983,0.01,common,{3}{W}{W},['W'],bbd
984,,common,,,amh2
985,0.06,uncommon,{4}{R}{R}{G},"['G', 'R']",ddl
986,1.48,common,,[],opca
987,0.03,uncommon,{2}{W},['W'],eld
988,0.01,common,{4}{G},['G'],gtc
989,,common,{U},['U'],oana
990,0.13,uncommon,{G},['G'],gpt
991,0.29,rare,{3}{B}{B},['B'],afc
992,0.08,common,{2}{W},['W'],afr
993,0.08,uncommon,{4}{R}{R},['R'],mrd
994,0.16,common,{3}{U},['U'],bok
995,0.42,mythic,,,khm
996,0.07,common,{3}{R},['R'],a25
997,0.09,common,{4}{G},['G'],pcy
998,0.22,rare,{3}{B},['B'],c20
999,0.22,uncommon,{1}{U},['U'],iko
1000,1.03,common,{0},[],2xm
1001,0.10,common,{W},['W'],thb
1002,0.22,rare,{4}{U},['U'],voc
1003,0.10,uncommon,{4}{B},['B'],emn
1004,0.23,uncommon,{1}{G},['G'],dom
1005,0.17,uncommon,{2}{R}{R},['R'],m21
1006,0.02,common,{2}{B},['B'],znr
1007,0.07,common,{1}{U},['U'],uds
1008,0.10,uncommon,{B}{R},"['B', 'R']",thb
1009,0.25,uncommon,{1}{U},['U'],m19
1010,2.60,mythic,{4}{U}{U}{U},['U'],roe
1011,0.03,common,{2}{W},['W'],frf
1012,0.06,common,{2}{R},['R'],rav
1013,,common,,,amid
1014,0.14,rare,{2}{U}{R},"['R', 'U']",c15
1015,0.14,common,{2}{R},['R'],uds
1016,0.04,common,{B},['B'],thb
1017,0.06,common,{3}{W},['W'],ons
1018,0.04,uncommon,{1}{U},['U'],c19
1019,0.17,common,{3}{G},['G'],jud
1020,0.08,uncommon,{1}{U},['U'],xln
1021,0.49,uncommon,{3}{B}{B},['B'],hou
1022,0.04,uncommon,{3}{U},['U'],thb
1023,0.17,common,{3}{R},['R'],mor
1024,0.06,common,{B},['B'],roe
1025,0.87,rare,{4}{B},['B'],c21
1026,0.20,uncommon,{2}{B}{B},['B'],soi
1027,0.11,uncommon,{4}{G},['G'],apc
1028,0.34,rare,{2}{W}{W}{B}{B},"['B', 'W']",arb
1029,0.62,rare,{2},[],ulg
1030,0.01,common,{1}{B}{B},['B'],tsr
1031,0.30,uncommon,{5},[],shm
1032,2.75,rare,{2}{G},['G'],ice
1033,0.04,common,{1}{G},['G'],ths
1034,14.63,rare,{3}{R}{R},['R'],c18
1035,,rare,{2}{W}{W},['W'],vma
1036,0.16,common,{2}{W},['W'],por
1037,0.10,uncommon,{3},[],mrd
1038,0.21,common,{1}{W},['W'],mor
1039,0.12,common,{2}{R},['R'],usg
1040,0.65,uncommon,{4},[],mbs
1041,0.17,rare,{1}{R}{R},['R'],thb
1042,0.07,common,{W},['W'],mrd
1043,0.04,common,{3}{W},['W'],ima
1044,0.10,common,{1}{G},['G'],wwk
1045,3.10,rare,{4}{R}{R}{R},['R'],nph
1046,0.11,uncommon,{3}{W},['W'],und
1047,0.16,common,{1}{R/W},"['R', 'W']",hop
1048,0.26,rare,{4}{W}{W},['W'],c18
1049,0.06,common,{2}{W},['W'],mir
1050,0.11,common,{1}{R},['R'],mir
1051,0.14,uncommon,{2}{R},['R'],apc
1052,1.00,rare,{1}{U},['U'],wwk
1053,0.02,common,{W},['W'],m20
1054,0.14,rare,{2}{B},['B'],mic
1055,0.14,uncommon,{1}{R}{R},['R'],mh1
1056,0.04,common,{3}{R},['R'],ema
1057,0.44,uncommon,{3}{G},['G'],ons
1058,0.06,uncommon,{2}{R} // {1}{G},"['G', 'R']",znc
1059,0.17,common,{3}{U},['U'],ugl
1060,0.07,common,{1}{R},['R'],soi
1061,1.37,mythic,,,stx
1062,0.10,common,{X}{R},['R'],vis
1063,0.01,common,{1}{B},['B'],stx
1064,0.09,uncommon,{2}{G},['G'],wwk
1065,0.16,uncommon,{2}{R},['R'],m20
1066,0.26,rare,{2}{G}{G},['G'],mmq
1067,0.02,uncommon,{W}{W}{W},['W'],mh2
1068,0.04,common,{1}{G},['G'],dtk
1069,19.91,rare,{1}{B}{B},['B'],mor
1070,0.09,uncommon,{3}{U},['U'],soi
1071,199.99,rare,{5}{U}{U},['U'],ptk
1072,0.01,uncommon,{1}{B},['B'],m21
1073,0.09,uncommon,{1}{W},['W'],m20
1074,0.14,uncommon,{2}{U}{U},['U'],ust
1075,0.22,rare,{3}{R}{R},['R'],ddj
1076,1.00,common,,[],ddq
1077,5.76,rare,,,xln
1078,0.08,common,{R},['R'],nem
1079,0.06,common,{2}{R},['R'],emn
1080,0.39,rare,{1}{G}{G},['G'],rix
1081,0.04,common,{1}{U},['U'],roe
1082,1.39,rare,{2}{B},['B'],mic
1083,0.08,common,{1}{G},['G'],ons
1084,0.13,rare,{3}{B},['B'],voc
1085,0.17,uncommon,{2}{R},['R'],10e
1086,,mythic,{1}{W}{U},"['U', 'W']",sld
1087,0.10,common,{3},[],dgm
1088,0.12,rare,{X}{U}{U},['U'],c21
1089,5.49,common,{2}{W},['W'],ptk
1090,0.20,common,{3},[],voc
1091,0.25,common,{R},['R'],isd
1092,1.36,uncommon,{W},['W'],wth
1093,0.17,uncommon,{W},['W'],rix
1094,,uncommon,{R}{R}{G}{G},"['G', 'R']",me3
1095,1.22,rare,{1}{U}{U},['U'],iko
1096,0.08,rare,{2}{R}{R},['R'],iko
1097,2.46,uncommon,,[],c18
1098,0.03,common,{2}{U},['U'],mm2
1099,0.26,uncommon,{2}{R},['R'],war
1100,0.05,common,{1}{U},['U'],8ed
1101,0.32,rare,{2},[],5ed
1102,8.23,rare,{G},['G'],ema
1103,0.14,rare,{1}{B}{B},['B'],mid
1104,2.53,mythic,{2}{G}{U},"['G', 'U']",bfz
1105,0.10,uncommon,{U},['U'],ust
1106,0.14,rare,{U}{R},"['R', 'U']",znr
1107,0.14,uncommon,{3},[],dtk
1108,0.06,common,{3}{R},['R'],dis
1109,0.17,common,{1}{B},['B'],ody
1110,0.30,rare,{4}{G},['G'],isd
1111,0.32,uncommon,{2}{W},['W'],mm3
1112,0.01,uncommon,{2}{G},['G'],mid
1113,0.05,uncommon,{2}{R}{R},['R'],ddi
1114,0.19,rare,{3},[],afc
1115,0.05,common,{2}{W},['W'],csp
1116,0.19,rare,{3}{U}{U}{B}{B},"['B', 'U']",arb
1117,0.20,common,{2},[],ogw
1118,0.23,uncommon,{X}{U}{B},"['B', 'U']",mir
1119,0.23,uncommon,{U},['U'],usg
1120,0.01,uncommon,{W},['W'],znr
1121,,common,,,astx
1122,63.75,mythic,{1}{B}{B},['B'],uma
1123,0.11,uncommon,{X}{R}{R}{R},['R'],cm2
1124,0.12,uncommon,{2}{R},['R'],roe
1125,0.19,common,{3},[],hop
1126,,common,,[],wc00
1127,3.98,uncommon,,[],con
1128,0.03,common,{3},[],aer
1129,0.01,common,{1}{U},['U'],ori
1130,0.12,common,{1}{U},['U'],mm2
1131,0.06,common,{2}{B},['B'],bng
1132,0.33,uncommon,,,znr
1133,0.06,common,{1}{B},['B'],kld
1134,0.08,common,{3}{G},['G'],ons
1135,0.39,rare,,[],stx
1136,0.06,uncommon,{2}{B},['B'],afr
1137,17.01,rare,{3}{G},['G'],dtk
1138,0.24,uncommon,,[],mmq
1139,0.26,rare,,,mid
1140,0.31,uncommon,{2}{U},['U'],cma
1141,2.73,rare,{W},['W'],roe
1142,0.06,common,{2}{B},['B'],akh
1143,0.09,common,{3}{R},['R'],pls
1144,1.35,common,{2},[],voc
1145,9.91,rare,{3}{G}{G},['G'],mor
1146,3.24,uncommon,{4}{U},['U'],bbd
1147,0.39,rare,{2}{B},['B'],emn
1148,0.09,uncommon,{1},[],8ed
1149,5.14,rare,{1}{U},['U'],apc
1150,0.11,uncommon,{3}{G}{U},"['G', 'U']",dis
1151,0.27,uncommon,{8},[],bfz
1152,0.26,uncommon,{2},[],ice
1153,7.58,rare,{3}{U},['U'],c21
1154,8.72,mythic,{4},[],znr
1155,0.15,common,{B},['B'],5ed
1156,0.22,uncommon,{3}{G},['G'],usg
1157,0.03,common,{1}{W},['W'],tsr
1158,53.56,mythic,{10},[],bfz
1159,,common,,,aafr
1160,1.98,uncommon,{R},['R'],mh2
1161,0.04,common,{2}{W},['W'],4ed
1162,0.21,common,{1}{W}{W},['W'],mm2
1163,3.59,mythic,,,vow
1164,0.01,common,{5},[],m19
1165,0.18,rare,{1}{W}{U},"['U', 'W']",dom
1166,2.98,common,,[],tc14
1167,,rare,,[],pmoa
1168,2.94,rare,{4}{B}{B},['B'],nph
1169,0.22,rare,{3}{B/G}{B/G},"['B', 'G']",c21
1170,0.21,rare,{3}{B}{B},['B'],voc
1171,34.20,rare,{1}{G},['G'],eve
1172,0.88,uncommon,,[],cma
1173,1.81,mythic,{X}{G}{W}{W},"['G', 'W']",grn
1174,20.21,rare,{G},['G'],2xm
1175,0.59,mythic,{4}{R}{R},['R'],c20
1176,7.28,rare,{1}{U},['U'],tsp
1177,,common,,,amh1
1178,0.10,uncommon,{4}{R}{R},['R'],ust
1179,2.71,common,{G},['G'],sok
1180,0.13,uncommon,{1}{B}{B},['B'],tor
1181,0.24,common,,['B'],tths
1182,17.67,mythic,{2}{W}{W},['W'],voc
1183,29.95,rare,{2},[],cm2
1184,0.12,common,{W}{W},['W'],10e
1185,0.09,common,{1}{R},['R'],jmp
1186,0.06,uncommon,{5},[],m21
1187,2.28,mythic,{1}{R}{G},"['G', 'R']",mm3
1188,5.78,rare,{1}{G},['G'],mh1
1189,0.11,common,{R},['R'],afc
1190,11.94,uncommon,{2}{U}{U},['U'],ptk
1191,1.35,rare,{3}{R},['R'],ima
1192,0.08,common,{W}{U}{B},"['B', 'U', 'W']",arb
1193,0.07,common,{3},[],mrd
1194,4.99,rare,,[],pvan
1195,0.13,uncommon,{4}{B},['B'],por
1196,0.87,uncommon,{B}{B},['B'],jmp
1197,25.97,rare,{2},[],lrw
1198,0.70,rare,{2}{B},['B'],m11
1199,0.09,uncommon,{B},['B'],con
1200,0.01,common,{3}{R},['R'],m14
1201,0.06,uncommon,{2}{W}{W},['W'],ddf
1202,0.12,uncommon,{R}{W},"['R', 'W']",cns
1203,0.69,uncommon,{W}{B},"['B', 'W']",m20
1204,0.09,uncommon,{3}{R},['R'],dom
1205,1.58,rare,{3}{U},['U'],kld
1206,0.32,rare,{3}{R}{R},['R'],ust
1207,0.01,common,{4}{U},['U'],uma
1208,6.80,special,,[],tsb
1209,0.14,uncommon,{2}{U},['U'],cmd
1210,4.81,rare,,[],m21
1211,0.06,common,{4}{R},['R'],jmp
1212,0.12,uncommon,{W}{B},"['B', 'W']",iko
1213,,common,,,amh1
1214,0.07,common,{B},['B'],jmp
1215,,uncommon,{3},[],me1
1216,5.70,mythic,{1}{B},['B'],mh2
1217,0.13,uncommon,{2},[],mir
1218,4.02,rare,{U}{U},['U'],roe
1219,25.56,mythic,{7},[],2xm
1220,0.19,common,,['U'],tbfz
1221,0.15,uncommon,{2}{W},['W'],pcy
1222,0.01,common,{3},[],gtc
1223,1.02,rare,{4}{W},['W'],c13
1224,0.99,uncommon,{2}{R},['R'],ema
1225,0.02,common,{2}{G},['G'],bng
1226,0.66,mythic,{4}{W}{W},['W'],tsr
1227,0.21,common,{2}{B},['B'],mir
1228,0.01,common,{R},['R'],cmr
1229,3.85,rare,{3}{R}{R},['R'],shm
1230,3.42,rare,{X}{2}{U},['U'],c15
1231,,common,,['R'],tkhm
1232,2.29,rare,{2}{R},['R'],grn
1233,0.04,common,{1}{R},['R'],m15
1234,0.01,uncommon,{3}{U}{R},"['R', 'U']",mid
1235,,common,,['R'],tgk2
1236,2.26,rare,{R}{R}{G}{G}{G}{W}{W},"['G', 'R', 'W']",ddh
1237,1.00,rare,{3},[],nem
1238,0.24,uncommon,{2}{U}{U},['U'],gpt
1239,0.30,common,{W},['W'],chk
1240,0.14,rare,{2}{R}{R},['R'],ths
1241,0.06,uncommon,{4}{G}{W},"['G', 'W']",cmr
1242,10.67,mythic,{3}{B},['B'],emn
1243,,common,{B},['B'],me4
1244,0.07,common,{4}{W},['W'],ema
